Instance	Order	Job No	Assigned Job	Machine No	DC	Obj	Tardiness	Makespan	Solve Time
1	4	12	6	6	3	24.000000000000007	17	52	1.8100242614746094
2	4	12	6	6	3	35.60000000000001	31	54	1.9368817806243896
3	4	12	6	6	3	17.600000000000005	9	52	1.7150278091430664
4	4	12	6	6	3	21.200000000000003	13	54	1.8552396297454834
5	4	12	6	6	3	20.000000000000004	12	52	1.8150382041931152
6	4	12	6	6	3	9.8	0	49	1.6809642314910889
7	4	12	6	6	3	19.400000000000002	12	49	2.306893825531006
8	4	12	6	6	3	32.2	28	49	3.5614569187164307
9	4	12	6	6	3	16.400000000000002	8	50	1.9242651462554932
10	4	12	6	6	3	21.800000000000004	15	49	1.538111925125122
11	8	56	12	6	7	42.20000000000001	34	75	757.5277411937714
12	8	56	8	6	7	60.00000000000001	57	72	1106.349580526352
13	8	56	8	6	7	32.00000000000001	23	68	1451.4667327404022
14	8	56	10	6	7	38.80000000000001	33	62	3600.798642396927
15	8	56	9	6	7	42.80000000000001	37	66	1023.7020514011383
16	8	56	11	6	7	39.00000000000001	32	67	779.7359380722046
17	8	56	9	6	7	40.80000000000001	34	68	1615.8626282215118
18	8	56	9	6	7	52.20000000000001	49	65	2742.478836774826
19	8	56	8	6	7	47.60000000000001	43	66	3600.3567667007446
20	8	56	10	6	7	45.60000000000001	40	68	3188.4030408859253
21	12	144	15	6	11	26.800000000000004	9	98	3600.599119901657
22	12	144	12	6	11	28.400000000000006	10	102	3600.7429831027985
23	12	144	13	6	11	44.000000000000014	29	104	3600.4437494277954
24	12	144	9	6	11	19.000000000000004	0	95	3600.596827983856
25	12	144	10	6	11	47.60000000000001	34	102	3600.6344695091248
26	12	144	13	6	11	58.600000000000016	47	105	3600.457718849182
27	12	144	11	6	11	61.80000000000001	51	105	3600.809641122818
28	12	144	11	6	11	27.400000000000006	10	97	3600.730794429779
29	12	144	10	6	11	30.600000000000005	14	97	3600.710639476776
30	12	144	12	6	11	47.20000000000001	32	108	3600.5065202713013
