Instance	Order	Job No	Assigned Job	Machine No	DC	Obj	Tardiness	Makespan	Solve Time
1	4	12	6	3	24.000000000000007	17	52	2.384885311126709
2	4	12	6	3	35.60000000000001	31	54	1.9896938800811768
3	4	12	6	3	17.600000000000005	9	52	3.054670572280884
4	4	12	6	3	21.200000000000003	13	54	1.8596982955932617
5	4	12	6	3	20.000000000000004	12	52	2.4547765254974365
6	4	12	6	3	9.8	0	49	2.0588009357452393
7	4	12	6	3	19.400000000000002	12	49	2.085798978805542
8	4	12	6	3	32.20000000000001	28	49	2.871805191040039
9	4	12	6	3	16.400000000000002	8	50	2.140455484390259
10	4	12	6	3	21.800000000000004	15	49	2.710747241973877
11	8	56	6	7	42.20000000000001	34	75	501.8764362335205
12	8	56	6	7	60.00000000000001	57	72	1007.6086156368256
13	8	56	6	7	32.00000000000001	23	68	884.2446782588959
14	8	56	6	7	38.80000000000001	33	62	3185.346964597702
15	8	56	6	7	42.80000000000001	37	66	1115.5515360832214
16	8	56	6	7	39.00000000000001	32	67	791.8959529399872
17	8	56	6	7	40.80000000000001	34	68	1444.361305475235
18	8	56	6	7	52.20000000000001	49	65	2211.8741364479065
19	8	56	6	7	48.20000000000001	43	69	3600.559437274933
20	8	56	6	7	45.60000000000001	40	68	2950.3313109874725
21	12	144	6	11	28.60000000000001	11	99	3600.662195444107
22	12	144	6	11	38.00000000000001	22	102	3600.579892396927
23	12	144	6	11	44.60000000000001	30	103	3600.548535346985
24	12	144	6	11	19.000000000000004	0	95	3600.6329262256622
25	12	144	6	11	55.600000000000016	43	106	3600.4216299057007
26	12	144	6	11	62.20000000000001	51	107	3600.7730650901794
27	12	144	6	11	59.20000000000002	48	104	3600.409825563431
28	12	144	6	11	38.60000000000001	22	105	3600.5979051589966
29	12	144	6	11	27.200000000000006	9	100	3600.5556869506836
30	12	144	6	11	47.80000000000001	33	107	3600.5725286006927
